Name,RA,DEC
A14,3.7957,-23.8823
A27,6.1965,-20.7324
A71,9.4947,29.6035
A74,9.5903,-22.3449
A75,9.8692,21.2295
A76,9.8597,6.734
A77,10.1181,29.5558
A85,10.4602,-9.3034
A86,10.6762,-21.7745
A102,12.1301,1.3547
A114,13.5312,-21.7143
A116,13.9435,0.645
A117,13.9662,-9.9857
A119,14.0672,-1.2561
A133,15.6739,-21.882
A134,15.6628,-2.6962
A147,17.1579,2.2684
A150,17.3268,13.1687
A151,17.213,-15.4072
A152,17.5135,13.9778
A154,17.7647,17.6518
A158,17.9387,16.8862
A161,18.8433,37.3396
A168,18.7404,0.4311
A171,19.3248,16.2652
A174,20.0677,35.8072
A179,20.5452,19.6205
A189,20.8597,1.7049
A193,21.2814,8.6992
A194,21.4952,-1.3394
A195,21.7281,19.2139
A208,22.8873,0.5558
A225,24.7043,18.8251
A240,25.5252,7.6646
A245,26.0341,6.3162
A246,26.1812,5.8119
A257,27.2851,13.9629
A260,27.679,33.0819
A261,27.8603,-2.2532
A262,28.1928,36.1515
A267,28.3134,1.0388
A268,28.2052,-1.0018
A279,29.0707,1.0507
A292,30.5789,19.0669
A295,30.5718,-1.1279
A311,32.3687,19.7761
A326,33.4156,-7.1453
A347,36.3603,41.8242
A357,37.3652,13.2661
A358,37.4957,-13.2649
A376,41.5168,36.9046
A386,42.5095,-17.0484
A397,44.1205,15.9164
A399,44.4715,13.0305
A400,44.424,6.0214
A401,44.741,13.5826
A404,45.395,41.4873
A407,45.465,35.8409
A415,46.72,-12.1063
A423,47.822,-12.1284
A428,49.0522,-19.0822
A436,51.6473,9.1841
A450,55.2308,23.5922
A496,68.407,-13.261
A498,69.4616,21.2053
A500,69.719,-22.111
A505,74.9836,80.1784
A514,71.7771,-20.4811
A533,75.2844,-22.5828
A539,79.2297,6.5526
A548,87.3406,-25.3464
A564,105.1685,69.9069
A568,106.9232,35.0582
A569,107.2823,48.6154
A576,110.5285,55.8748
A582,112.0035,41.9185
A592,115.7208,9.2809
A595,117.1535,52.222
A600,119.1492,63.7397
A602,118.1166,29.5423
A634,123.9371,58.3211
A644,124.3569,-7.5128
A671,127.133,30.43
A690,129.8163,28.8439
A695,130.3047,32.4161
A744,136.8357,16.6514
A754,137.1347,-9.6303
A757,138.2826,47.7082
A779,139.945,33.7496
A780,139.5238,-12.0955
A819,143.0709,9.6831
A834,145.3872,66.7105
A838,144.286,-5.0417
A841,144.65,-4.3353
A912,150.2892,-0.0796
A957,153.4095,-0.9254
A970,154.3572,-10.6892
A978,155.1107,-6.527
A979,155.0804,-7.8937
A993,155.4832,-4.8905
A999,155.8494,12.8349
A1003,156.257,47.8416
A1016,156.783,11.0103
A1020,156.9567,10.4416
A1032,157.5425,4.0068
A1035,158.0584,40.2711
A1060,159.1773,-27.5286
A1066,159.9119,5.1751
A1069,159.9313,-8.687
A1090,161.4225,-18.3571
A1100,162.1905,22.2176
A1139,164.5459,1.6043
A1142,165.1891,10.5532
A1145,165.3681,16.768
A1149,165.7401,7.6031
A1155,166.1649,35.2295
A1169,166.956,43.9166
A1171,166.875,2.9101
A1177,167.4355,21.7588
A1185,167.6597,28.7675
A1186,168.509,75.4309
A1187,167.7902,39.5976
A1190,167.932,40.8205
A1203,168.451,40.2856
A1213,169.0953,29.2523
A1216,169.5337,-4.4303
A1228,170.3466,34.3568
A1238,170.7267,1.1142
A1257,171.3796,35.5042
A1267,172.1517,26.9054
A1279,172.9149,67.2414
A1291,173.0499,56.0477
A1308,173.2712,-4.0138
A1314,173.7059,49.0773
A1317,173.8044,-13.5519
A1318,174.3931,54.8529
